id,skills,titles,major
/in/louiscwolff/,['NaN'],"['Consultant', 'Consultant | M&amp;A Strategy', 'Summer Senior Consultant  |  Transaction Advisory Services', 'Internal Strategy Intern', 'Mechanical Engineering Designer']","['Master of Business Administration - MBA, Strategy Consulting, Finance', 'Bachelor of Science (BS) with Honors, Mechanical Engineering']"
/in/hannah-allison-9853b836/,"['Engineering', 'Tableau', 'Visual Basic', 'Microsoft Excel', 'Matlab', 'PowerPoint', 'Engineering', 'Tableau', 'Visual Basic', 'Microsoft Excel', 'Matlab', 'PowerPoint']","['Northrop Grumman', 'Northrop Grumman', 'Northrop Grumman', 'Northrop Grumman', 'Northrop Grumman']","['Master of Science (M.S.), Mechanical Engineering', 'Bachelor of Science (B.S.), Mechanical Engineering']"
/in/kaylaparkbrouse/,"['Data Analysis', 'Microsoft Office', 'Technical Writing', 'Consulting', 'Microsoft Excel', 'Technical Presentations', 'Visio', 'System Testing', 'Product Development', 'Project Management', 'Microsoft Project', 'Customer Service', 'SQL', 'Public Speaking', 'PowerPoint', 'Microsoft Word', 'Data Analysis', 'Technical Writing', 'Consulting', 'Technical Presentations', 'System Testing', 'Product Development', 'Project Management', 'Customer Service', 'Microsoft Office', 'Microsoft Excel', 'Visio', 'Microsoft Project', 'SQL', 'PowerPoint', 'Microsoft Word', 'Access', 'Public Speaking']","['Information Technology Specialist', 'Technology Consulting Project Management Consultant', 'Business &amp; Systems Integration Consulting Sr. Analyst', 'Business &amp; Systems Integration Consulting Analyst', 'Substitute Teacher', 'Systems Integration Consulting - Functional Analyst Intern', 'Peer Assistant', 'SEEDS Mentor', 'Research Assistant', 'Hostess/Server', 'Hostess &amp; Server', 'ACE Mentor Program Participant']","['B.S, Mechanical Engineering', 'General Studies']"
/in/timisanni/,"['Java', 'Problem Solving', 'Easily Adaptable', 'Communication', 'Java', 'Problem Solving', 'Easily Adaptable', 'Communication']","['APP SDE Intern', 'Office Assistant', 'Assistant Site Manager']","['Bachelor of Science - BS, Computer Science']"
/in/sanket-nayak-8078a454/,"['Java', 'C', 'C++', 'HTML', 'JavaScript', 'SQL', 'Databases', 'Core Java', 'CSS', 'Servlets', 'JSP', 'jQuery', 'JDBC', 'Struts', 'Scrum', 'Advanced Java', 'Eclipse', 'Programming', 'Log4j', 'JSON', 'Scrum', 'Programming', 'Log4j', 'Mockito', 'Software Development', 'Java', 'C', 'C++', 'HTML', 'JavaScript', 'SQL', 'Databases', 'Core Java', 'CSS', 'Servlets', 'JSP', 'jQuery', 'JDBC', 'Struts', 'Advanced Java', 'Eclipse', 'JSON', 'JUnit', 'HTML5']","['Amazon Web Services (AWS)', 'Amazon Web Services (AWS)']",['Master of Science - MS']
/in/nygel-taylor-35096494/,"['Customer Service', 'Microsoft Office', 'Microsoft Excel', 'Leadership', 'Management', 'PowerPoint', 'Higher Education', 'Project Management', 'Marketing', 'Training', 'Microsoft PowerPoint', 'Customer Service', 'Higher Education', 'Project Management', 'Marketing', 'Training', 'Microsoft Office', 'Microsoft Excel', 'PowerPoint', 'Microsoft PowerPoint', 'Leadership', 'Management']","['Sr. Student Experience Specialist', 'Student Experience Specialist', 'Team Leader Solution Center', 'Sr. Customer Support Specialist', 'Session Support Coordinator', 'Chief Information Technology Officer', 'Home Essentials Supervisor', 'PCHO Specialist', 'Courtesy Clerk', 'Lead Leasing Professional', 'Magnolia Professional', 'Private Investigator', 'Leasing Professional', 'Sales Representative', 'Bank Teller', 'Sorter', 'Retail Sales Associate', 'Sales Associate', 'Sales Associate', 'Sales Associate', 'Sales Associate', 'Courtesy Clerk']","['Master of Library & Information Science - MLIS, Information Science/Studies', ""Master's degree, Information Management for Executives"", 'Bachelor of Science - BS, Computer Science']"
/in/baboyma-kagniniwa-gisp-67a2ab23/,"['GIS', 'ESRI', 'ArcGIS', 'Spatial Analysis', 'Cartography', 'Geospatial Data', 'Remote Sensing', 'GIS Application', 'SQL', 'Geography', 'ArcGIS Server', 'Spatial Databases', 'GPS', 'Databases', 'ArcMap', 'ArcInfo', 'Geomatics', 'Geographic Information Systems (GIS)', 'Python', 'JavaScript', 'ENVI', 'Data Analysis', 'Microsoft SQL Server', 'Integration', 'ArcSDE', 'HTML', 'PHP', 'Microsoft Office', 'jQuery', 'Analysis', 'Web Applications', 'Global Positioning System (GPS)', 'ESRI', 'Spatial Analysis', 'Cartography', 'Geospatial Data', 'Remote Sensing', 'GIS Application', 'Geography', 'ArcGIS Server', 'Spatial Databases', 'GPS', 'ArcMap', 'ArcInfo', 'Geomatics', 'ENVI', 'Data Analysis', 'Integration', 'ArcSDE', 'Web Applications', 'Global Positioning System (GPS)', 'GIS', 'ArcGIS', 'SQL', 'Databases', 'Geographic Information Systems (GIS)', 'Python', 'JavaScript', 'Microsoft SQL Server', 'HTML', 'PHP', 'Microsoft Office', 'jQuery', 'Analysis']","['Sr Data Scientist', 'Program Officer / GIS Analyst', 'GIS Consultant', 'GIS Instructor', 'GIS Systems Engineer', 'Geospatial Applications Developer', 'GIS Web Applications Developer', 'Senior Performance Test Engineer', 'GIS Consultant', 'GIS Analyst', 'GIS Analyst Intern', 'Student Assistant']","[""Master's of Professional Studies, Geospatial Information Sciences"", 'Certificate, Cartography and GIS', 'Master of Arts (M.A.), Geography']"
/in/joel-zhang/,['NaN'],"['Lead Server', 'Server', 'Sales Associate', 'Tutor/ Grader']","['Bachelor of Science - BS, Kinesiology and Exercise Science']"
/in/zain-zaidi-02a027168/,"['Educational Technology', 'Educational Technology']","['Information Technology Support Technician', 'Caddie', 'Summer Intern']","[""Bachelor's degree, Information Science - Data Science Track"", 'Highschool Diploma']"
/in/john-luo-abab0a179/,['NaN'],"['Student', 'Software Development Engineer Intern', 'Student Trainee (Computer Science)', 'Guest Researcher']","[""Bachelor's degree, Computer Science""]"
/in/saniyanazeer/,"['Java', 'Java']",['Front End and Back End Developer - Intern'],"[""Bachelor's degree, Computer Science"", 'High School Diploma']"
/in/nicolejenkins28/,"['Human Resources', 'Program Management', 'Microsoft Office', 'Hospitality', 'Nonprofits', 'Management', 'Student Development', 'Community Outreach', 'Hospitality Management', 'Conferences', 'Conference Management', 'Troubleshooting', 'Events', 'Event Management', 'Program Development', 'Program Evaluation', 'Coordination', 'Program Management Professional', 'Travel Management', 'Purchase Management', 'Applicant Tracking Systems', 'PeopleAdmin', 'Leadership', 'Nonprofit Organizations', 'Human Resources', 'Program Management', 'Hospitality', 'Nonprofits', 'Student Development', 'Community Outreach', 'Hospitality Management', 'Conference Management', 'Troubleshooting', 'Event Management', 'Program Development', 'Program Evaluation', 'Program Management Professional', 'Travel Management', 'Purchase Management', 'PeopleAdmin', 'Nonprofit Organizations', 'Microsoft Office', 'Applicant Tracking Systems', 'Management', 'Leadership', 'Conferences', 'Events']","['University of Maryland', 'University of Maryland', 'University of Maryland']","['Certificate , Hospitality and Tourism Management', 'Master of Business Administration (M.B.A.)', 'Master of Science (M.S.), Management: Human Resources']"
/in/daniel-arndt-1b410899/,"['Microsoft Office', 'PowerPoint', 'Matlab', 'Microsoft Word', 'Microsoft Excel', 'Research', 'Public Speaking', 'Engineering', 'Research', 'Engineering', 'Microsoft Office', 'PowerPoint', 'Matlab', 'Microsoft Word', 'Microsoft Excel', 'Public Speaking']","['Process Engineer', 'Process Engineer', 'Plant Engineer', 'Process Engineer', 'Process Engineer', 'Undergraduate Teaching Fellow for Chemical Engineering Thermodynamics (CHBE 301 and CHBE 302)', 'Engineering Intern', 'Student Trainee (Engineering Technician)']","[""Bachelor's degree, Chemical Engineering""]"
/in/parthnanvani/,"['SQL', 'Tableau', 'Python (Programming Language)', 'Data Structures', 'Artificial Intelligence (AI)', 'Deep Learning', 'Machine Learning', 'Data Visualization', 'Risk Management', 'C++', 'C (Programming Language)', 'LAMP', 'HTML', 'Cascading Style Sheets (CSS)', 'Microsoft Office', 'Microsoft Word', 'Microsoft PowerPoint', 'Data Structures', 'Artificial Intelligence (AI)', 'Deep Learning', 'Machine Learning', 'Data Visualization', 'Risk Management', 'Time Management', 'Database Management System (DBMS)', 'SQL', 'Tableau', 'Python (Programming Language)', 'C++', 'C (Programming Language)', 'LAMP', 'HTML', 'Cascading Style Sheets (CSS)', 'Microsoft Office', 'Microsoft Word', 'Microsoft PowerPoint', 'Teamwork', 'Communication', 'Leadership', 'Organization Skills', 'Critical Thinking', 'Decision-Making']","['ElasticRun', 'ElasticRun']","['Master of Science - MS, Information Systems', 'Bachelor of Technology - BTech, Computer Engineering', 'HSC']"
